Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
Attention & Learning difficulty,PD,99,67,0.205,0.56,0.0002,-0.436,-1.082,-0.759,-0.209,0.004,Female,-0.356
Attention & Learning difficulty,SAD,99,150,0.205,0.47,0.0002,-0.334,-0.855,-0.595,-0.169,0.004,Female,-0.265
Attention & Learning difficulty,Schizoaffective Disorder,99,53,0.205,0.311,0.48535,0.219,-0.454,-0.117,-0.033,0.9028,Female,-0.106
Attention & Learning difficulty,Schizoaffective Disorder - Relative,99,48,0.205,0.366,0.0336,-0.019,-0.72,-0.37,-0.11,0.1526,Female,-0.161
Attention & Learning difficulty,SCZ,99,315,0.205,0.366,0.0098,-0.074,-0.529,-0.302,-0.088,0.0577,Female,-0.161
Attention & Learning difficulty,SCZ-Relative,99,138,0.205,0.391,0.003,-0.136,-0.66,-0.398,-0.117,0.0254,Female,-0.186
Attention & Learning difficulty,SMC,99,59,0.205,0.467,0.0012,-0.216,-0.877,-0.546,-0.148,0.0133,Female,-0.262
Attention & Learning difficulty,SPECIFIC PHOBIA,99,159,0.205,0.416,0.0002,-0.269,-0.781,-0.525,-0.16,0.004,Female,-0.211
Attention & Learning difficulty,Subacute Pain,99,28,0.205,0.43,0.0198,-0.111,-0.969,-0.54,-0.159,0.1011,Female,-0.226
BD,BIPOLAR/PSYCH-RELATIVE,111,47,0.497,0.515,0.9761,0.338,-0.35,-0.006,-0.002,1,Female,-0.018
BD,Chronic Pain,111,63,0.497,0.48,0.9863,0.309,-0.313,-0.002,-0.001,1,Female,0.017
BD,DEMENTIA - LBD,111,21,0.497,0.479,0.86691,0.511,-0.43,0.04,0.012,1,Female,0.018
BD,EMCI,111,139,0.497,0.408,0.13059,0.446,-0.056,0.195,0.054,0.3918,Female,0.089
BD,LMCI,111,216,0.497,0.477,0.60014,0.291,-0.169,0.061,0.017,0.9967,Female,0.02
